Country name,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
Gambia,4750.599861,256.990552,882.678688,353.247881,403.419524,425.989687,158.093795,2270.216465
Mali,4729.300022,352.462649,973.14173,234.981522,377.534449,169.66705,62.146276,2559.335232
Nigeria,4724.100113,645.901859,986.717939,167.835936,435.079455,221.328124,47.589935,2219.635487
Armenia,4676.799774,808.262408,1034.576893,775.85727,378.075808,107.225738,104.618184,1468.161583
Georgia,4672.599792,847.198069,731.1939,694.657624,485.494107,47.609735,174.088076,1692.39831
Iran,4672.399998,1029.322505,886.271179,749.053836,301.195472,276.97894,142.651513,1286.969423
Jordan,4633.399963,785.179198,1140.118599,777.624726,424.855083,91.494769,151.878625,1262.258053
Mozambique,4623.600006,178.741366,955.202878,324.223638,560.77534,220.422104,163.064316,2221.216202
Kenya,4583.000183,476.413399,905.077755,536.312759,519.180536,393.902093,67.201078,1684.904575
Namibia,4571.100235,840.08199,1245.738149,406.87117,444.598973,76.454483,54.320343,1503.033161
Ukraine,4560.69994,780.434608,1321.316481,698.674381,319.423705,178.551316,9.65116,1252.669334
Liberia,4557.899952,174.103007,920.733929,392.284274,405.943096,226.967871,51.139876,2386.757851
Palestinian Territories,4552.800179,587.819219,1194.755554,613.826573,298.70075,91.816261,71.913652,1693.985701
Uganda,4432.00016,312.337428,1052.327394,378.311664,401.682556,264.807373,63.818842,1958.671093
Chad,4422.699928,302.287489,739.118278,108.7441,228.601769,210.805088,85.755408,2747.42651
Tunisia,4392.199993,874.742687,872.167706,781.156719,235.860556,55.881143,43.899573,1528.496742
Mauritania,4374.599934,539.684892,1113.323569,425.184816,185.714483,128.899664,122.257635,1859.55739
Sri Lanka,4327.000141,897.986948,1194.94009,792.036712,528.632462,252.666146,49.444564,611.288548
Congo (Kinshasa),4310.99987,62.487468,833.055019,277.212054,364.62298,254.324883,81.466645,2437.864304
Swaziland,4308.100224,827.539742,1064.835191,215.585828,299.935788,67.264833,146.765873,1686.207294
Myanmar,4308.000088,678.09093,1098.178267,495.443076,597.478867,569.813728,187.530354,681.462526
Comoros,4288.599968,415.620774,723.232806,437.383324,181.028232,258.538276,100.048535,2172.76907
Togo,4187.200069,268.116266,547.622859,342.731178,303.539038,200.774252,114.826456,2409.595251
Ethiopia,4186.200142,315.125644,1001.103282,483.846247,412.56687,227.698103,117.437035,1628.459215
Madagascar,4165.599823,244.553208,823.694348,500.617027,192.967549,191.190064,76.248638,2136.298418
Egypt,4151.400089,875.228941,982.539535,596.911311,373.684734,68.801254,95.461793,1158.818245
Sierra Leone,3926.399946,240.560383,747.984946,203.953966,382.027686,257.647008,47.940936,2046.271801
Burundi,3775.300026,0,403.575271,295.212835,275.399059,187.401786,212.186828,2401.507378
Zambia,3759.399891,536.833763,896.037281,363.59334,491.31754,250.620902,86.705238,1134.339333
Haiti,3720.799923,284.734428,646.671355,374.36673,169.297516,463.909656,161.935672,1619.916916
Lesotho,3652.800083,454.93874,1088.940024,100.934811,409.367532,102.627642,50.483823,1445.513964
India,3573.299885,730.576158,644.198656,540.57014,581.142247,237.072483,105.587982,734.130859
Malawi,3538.000107,176.534727,530.36809,446.163297,487.389833,213.185057,131.633952,1552.718282
Yemen,3527.400017,392.701775,1177.477121,415.00017,243.721485,94.689012,87.352127,1116.472721
Botswana,3478.899956,997.548997,1085.69479,494.101733,509.08941,33.407487,101.786368,257.240534
Tanzania,3476.200104,457.163125,872.674644,442.677855,509.343088,271.54091,203.880861,718.963385
Central African Republic,3475.899935,41.072082,0,0,292.814463,253.513217,28.264718,2860.197544
Rwanda,3312.299967,343.242675,522.876322,572.383285,604.087889,235.704988,485.542476,548.444986
Zimbabwe,3299.200058,425.564021,1047.835231,375.037611,377.40472,151.349187,80.928579,841.031075
South Sudan,2816.600084,289.082974,553.278506,208.809033,65.609254,209.934607,111.156799,1378.751278
Afghanistan,2566.900015,300.70585,356.433839,266.051531,0,135.234714,1.225785,1507.235646
